resume_text,job_role
Python pandas numpy sklearn machine learning statistics sql projects analytics project 0 experience building production systems,Data Scientist
Python pandas numpy sklearn machine learning statistics sql projects analytics project 1 experience building production systems,Data Scientist
Python pandas numpy sklearn machine learning statistics sql projects analytics project 2 experience building production systems,Data Scientist
Python pandas numpy sklearn machine learning statistics sql projects analytics project 3 experience building production systems,Data Scientist
Python pandas numpy sklearn machine learning statistics sql projects analytics project 4 experience building production systems,Data Scientist
Python pandas numpy sklearn machine learning statistics sql projects analytics project 5 experience building production systems,Data Scientist
Python pandas numpy sklearn machine learning statistics sql projects analytics project 6 experience building production systems,Data Scientist
Python pandas numpy sklearn machine learning statistics sql projects analytics project 7 experience building production systems,Data Scientist
Python fastapi django api postgres docker microservices authentication testing project 0 experience building production systems,Backend Developer
Python fastapi django api postgres docker microservices authentication testing project 1 experience building production systems,Backend Developer
Python fastapi django api postgres docker microservices authentication testing project 2 experience building production systems,Backend Developer
Python fastapi django api postgres docker microservices authentication testing project 3 experience building production systems,Backend Developer
Python fastapi django api postgres docker microservices authentication testing project 4 experience building production systems,Backend Developer
Python fastapi django api postgres docker microservices authentication testing project 5 experience building production systems,Backend Developer
Python fastapi django api postgres docker microservices authentication testing project 6 experience building production systems,Backend Developer
Python fastapi django api postgres docker microservices authentication testing project 7 experience building production systems,Backend Developer
React typescript javascript css html ui ux components responsive web project 0 experience building production systems,Frontend Developer
React typescript javascript css html ui ux components responsive web project 1 experience building production systems,Frontend Developer
React typescript javascript css html ui ux components responsive web project 2 experience building production systems,Frontend Developer
React typescript javascript css html ui ux components responsive web project 3 experience building production systems,Frontend Developer
React typescript javascript css html ui ux components responsive web project 4 experience building production systems,Frontend Developer
React typescript javascript css html ui ux components responsive web project 5 experience building production systems,Frontend Developer
React typescript javascript css html ui ux components responsive web project 6 experience building production systems,Frontend Developer
React typescript javascript css html ui ux components responsive web project 7 experience building production systems,Frontend Developer
Docker kubernetes ci cd aws linux monitoring terraform pipelines project 0 experience building production systems,DevOps Engineer
Docker kubernetes ci cd aws linux monitoring terraform pipelines project 1 experience building production systems,DevOps Engineer
Docker kubernetes ci cd aws linux monitoring terraform pipelines project 2 experience building production systems,DevOps Engineer
Docker kubernetes ci cd aws linux monitoring terraform pipelines project 3 experience building production systems,DevOps Engineer
Docker kubernetes ci cd aws linux monitoring terraform pipelines project 4 experience building production systems,DevOps Engineer
Docker kubernetes ci cd aws linux monitoring terraform pipelines project 5 experience building production systems,DevOps Engineer
Docker kubernetes ci cd aws linux monitoring terraform pipelines project 6 experience building production systems,DevOps Engineer
Docker kubernetes ci cd aws linux monitoring terraform pipelines project 7 experience building production systems,DevOps Engineer
Java spring boot rest api jdbc maven unit testing oop project 0 experience building production systems,Java Developer
Java spring boot rest api jdbc maven unit testing oop project 1 experience building production systems,Java Developer
Java spring boot rest api jdbc maven unit testing oop project 2 experience building production systems,Java Developer
Java spring boot rest api jdbc maven unit testing oop project 3 experience building production systems,Java Developer
Java spring boot rest api jdbc maven unit testing oop project 4 experience building production systems,Java Developer
Java spring boot rest api jdbc maven unit testing oop project 5 experience building production systems,Java Developer
Java spring boot rest api jdbc maven unit testing oop project 6 experience building production systems,Java Developer
Java spring boot rest api jdbc maven unit testing oop project 7 experience building production systems,Java Developer
